"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","OP_CARRIER_AIRLINE_ID","OP_CARRIER","TAIL_NUM","OP_CARRIER_FL_NUM","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","ORIGIN_STATE_FIPS","ORIGIN_STATE_NM","ORIGIN_WAC","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","DEST_STATE_FIPS","DEST_STATE_NM","DEST_WAC","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","DEP_DELAY_GROUP","DEP_TIME_BLK","TAXI_OUT","WHEELS_OFF","WHEELS_ON","TAXI_IN","CRS_ARR_TIME","ARR_TIME","ARR_DELAY","ARR_DELAY_NEW","ARR_DEL15","ARR_DELAY_GROUP","ARR_TIME_BLK","CANCELLED","CANCELLATION_CODE","DIVERTED","CRS_ELAPSED_TIME","ACTUAL_ELAPSED_TIME","AIR_TIME","FLIGHTS","DISTANCE","DISTANCE_GROUP","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY","FIRST_DEP_TIME","TOTAL_ADD_GTIME","LONGEST_ADD_GTIME","DIV_AIRPORT_LANDINGS","DIV_REACHED_DEST","DIV_ACTUAL_ELAPSED_TIME","DIV_ARR_DELAY","DIV_DISTANCE","DIV1_AIRPORT","DIV1_AIRPORT_ID","DIV1_AIRPORT_SEQ_ID","DIV1_WHEELS_ON","DIV1_TOTAL_GTIME","DIV1_LONGEST_GTIME","DIV1_WHEELS_OFF","DIV1_TAIL_NUM","DIV2_AIRPORT","DIV2_AIRPORT_ID","DIV2_AIRPORT_SEQ_ID","DIV2_WHEELS_ON","DIV2_TOTAL_GTIME","DIV2_LONGEST_GTIME","DIV2_WHEELS_OFF","DIV2_TAIL_NUM","DIV3_AIRPORT","DIV3_AIRPORT_ID","DIV3_AIRPORT_SEQ_ID","DIV3_WHEELS_ON","DIV3_TOTAL_GTIME","DIV3_LONGEST_GTIME","DIV3_WHEELS_OFF","DIV3_TAIL_NUM","DIV4_AIRPORT","DIV4_AIRPORT_ID","DIV4_AIRPORT_SEQ_ID","DIV4_WHEELS_ON","DIV4_TOTAL_GTIME","DIV4_LONGEST_GTIME","DIV4_WHEELS_OFF","DIV4_TAIL_NUM","DIV5_AIRPORT","DIV5_AIRPORT_ID","DIV5_AIRPORT_SEQ_ID","DIV5_WHEELS_ON","DIV5_TOTAL_GTIME","DIV5_LONGEST_GTIME","DIV5_WHEELS_OFF","DIV5_TAIL_NUM",
2021,4,11,27,6,2021-11-27,"YV",20378,"YV","N88328","6309",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14524,1452401,34524,"RIC","Richmond, VA","VA","51","Virginia",38,"1007","1000",-7.00,0.00,0.00,-1,"1000-1059",20.00,"1020","1336",42.00,"1400","1418",18.00,18.00,1.00,1,"1400-1459",0.00,"",0.00,173.00,198.00,136.00,1.00,1157.00,5,0.00,0.00,18.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,27,6,2021-11-27,"YV",20378,"YV","N87337","6326",11433,1143302,31295,"DTW","Detroit, MI","MI","26","Michigan",43,12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,"1630","1629",-1.00,0.00,0.00,-1,"1600-1659",50.00,"1719","1900",10.00,"1855","1910",15.00,15.00,1.00,1,"1800-1859",0.00,"",0.00,205.00,221.00,161.00,1.00,1075.00,5,0.00,0.00,15.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,27,6,2021-11-27,"YV",20378,"YV","N88328","6348",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,13891,1389101,32575,"ONT","Ontario, CA","CA","06","California",91,"1850","1847",-3.00,0.00,0.00,-1,"1800-1859",17.00,"1904","2041",13.00,"2031","2054",23.00,23.00,1.00,1,"2000-2059",0.00,"",0.00,221.00,247.00,217.00,1.00,1334.00,6,0.00,0.00,23.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,16,2,2021-11-16,"YV",20378,"YV","N84307","6172",10529,1052906,30529,"BDL","Hartford, CT","CT","09","Connecticut",11,12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,"1445","1444",-1.00,0.00,0.00,-1,"1400-1459",42.00,"1526","1633",4.00,"1620","1637",17.00,17.00,1.00,1,"1600-1659",0.00,"",0.00,95.00,113.00,67.00,1.00,326.00,2,0.00,0.00,17.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,24,3,2021-11-24,"YV",20378,"YV","N88331","6238",11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,"0545","0545",0.00,0.00,0.00,0,"0001-0559",47.00,"0632","0724",7.00,"0716","0731",15.00,15.00,1.00,1,"0700-0759",0.00,"",0.00,91.00,106.00,52.00,1.00,322.00,2,0.00,0.00,15.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N86309","6094",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,13198,1319801,33198,"MCI","Kansas City, MO","MO","29","Missouri",64,"2130","2130",0.00,0.00,0.00,0,"2100-2159",26.00,"2156","2344",6.00,"2332","2350",18.00,18.00,1.00,1,"2300-2359",0.00,"",0.00,122.00,140.00,108.00,1.00,643.00,3,0.00,0.00,18.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,22,1,2021-11-22,"YV",20378,"YV","N89362","6251",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,"0955","0952",-3.00,0.00,0.00,-1,"0900-0959",38.00,"1030","1328",7.00,"1306","1335",29.00,29.00,1.00,1,"1300-1359",0.00,"",0.00,131.00,163.00,118.00,1.00,796.00,4,0.00,0.00,29.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,16,2,2021-11-16,"YV",20378,"YV","N89308","6202",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,10693,1069302,30693,"BNA","Nashville, TN","TN","47","Tennessee",54,"0730","0730",0.00,0.00,0.00,0,"0700-0759",24.00,"0754","0933",29.00,"0930","1002",32.00,32.00,1.00,2,"0900-0959",0.00,"",0.00,120.00,152.00,99.00,1.00,657.00,3,0.00,0.00,32.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,14,7,2021-11-14,"YV",20378,"YV","N88325","6222",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,11624,1162403,31624,"EYW","Key West, FL","FL","12","Florida",33,"1230","1224",-6.00,0.00,0.00,-1,"1200-1259",19.00,"1243","1600",92.00,"1609","1732",83.00,83.00,1.00,5,"1600-1659",0.00,"",0.00,159.00,248.00,137.00,1.00,915.00,4,0.00,0.00,83.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,13,6,2021-11-13,"YV",20378,"YV","N89362","6110",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14683,1468305,33214,"SAT","San Antonio, TX","TX","48","Texas",74,"1015","1010",-5.00,0.00,0.00,-1,"1000-1059",51.00,"1101","1137",3.00,"1122","1140",18.00,18.00,1.00,1,"1100-1159",0.00,"",0.00,67.00,90.00,36.00,1.00,191.00,1,0.00,0.00,18.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,28,7,2021-11-28,"YV",20378,"YV","N87318","6047",12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,12451,1245102,31136,"JAX","Jacksonville, FL","FL","12","Florida",33,"1725","1725",0.00,0.00,0.00,0,"1700-1759",64.00,"1829","2006",4.00,"1943","2010",27.00,27.00,1.00,1,"1900-1959",0.00,"",0.00,138.00,165.00,97.00,1.00,630.00,3,0.00,0.00,27.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,14,7,2021-11-14,"YV",20378,"YV","N93305","6252",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,12339,1233904,32337,"IND","Indianapolis, IN","IN","18","Indiana",42,"2000","1956",-4.00,0.00,0.00,-1,"2000-2059",55.00,"2051","2349",6.00,"2322","2355",33.00,33.00,1.00,2,"2300-2359",0.00,"",0.00,142.00,179.00,118.00,1.00,844.00,4,0.00,0.00,33.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,22,1,2021-11-22,"YV",20378,"YV","N85323","6355",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"1240","1236",-4.00,0.00,0.00,-1,"1200-1259",17.00,"1253","1544",26.00,"1555","1610",15.00,15.00,1.00,1,"1500-1559",0.00,"",0.00,135.00,154.00,111.00,1.00,851.00,4,0.00,0.00,15.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,13,6,2021-11-13,"YV",20378,"YV","N86309","6355",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"1240","1240",0.00,0.00,0.00,0,"1200-1259",25.00,"1305","1557",36.00,"1555","1633",38.00,38.00,1.00,2,"1500-1559",0.00,"",0.00,135.00,173.00,112.00,1.00,851.00,4,0.00,0.00,38.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,22,1,2021-11-22,"YV",20378,"YV","N93305","6011",12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,"0820","0819",-1.00,0.00,0.00,-1,"0800-0859",53.00,"0912","1018",5.00,"1002","1023",21.00,21.00,1.00,1,"1000-1059",0.00,"",0.00,102.00,124.00,66.00,1.00,322.00,2,0.00,0.00,21.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,22,1,2021-11-22,"YV",20378,"YV","N83329","6020",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14492,1449202,34492,"RDU","Raleigh/Durham, NC","NC","37","North Carolina",36,"1020","1019",-1.00,0.00,0.00,-1,"1000-1059",47.00,"1106","1414",4.00,"1401","1418",17.00,17.00,1.00,1,"1400-1459",0.00,"",0.00,161.00,179.00,128.00,1.00,1042.00,5,0.00,0.00,17.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N88301","6132",13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,11423,1142307,31423,"DSM","Des Moines, IA","IA","19","Iowa",61,"1245","1245",0.00,0.00,0.00,0,"1200-1259",54.00,"1339","1431",5.00,"1410","1436",26.00,26.00,1.00,1,"1400-1459",0.00,"",0.00,85.00,111.00,52.00,1.00,299.00,2,0.00,0.00,26.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,14,7,2021-11-14,"YV",20378,"YV","N88301","6029",11066,1106606,31066,"CMH","Columbus, OH","OH","39","Ohio",44,13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,"1140","1139",-1.00,0.00,0.00,-1,"1100-1159",44.00,"1223","1215",6.00,"1205","1221",16.00,16.00,1.00,1,"1200-1259",0.00,"",0.00,85.00,102.00,52.00,1.00,296.00,2,0.00,0.00,16.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,8,1,2021-11-08,"YV",20378,"YV","N86375","6023",11057,1105703,31057,"CLT","Charlotte, NC","NC","37","North Carolina",36,12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,"1445","1444",-1.00,0.00,0.00,-1,"1400-1459",41.00,"1525","1639",5.00,"1624","1644",20.00,20.00,1.00,1,"1600-1659",0.00,"",0.00,99.00,120.00,74.00,1.00,322.00,2,0.00,0.00,20.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N85320","6138",13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,12451,1245102,31136,"JAX","Jacksonville, FL","FL","12","Florida",33,"1430","1430",0.00,0.00,0.00,0,"1400-1459",72.00,"1542","1842",6.00,"1805","1848",43.00,43.00,1.00,2,"1800-1859",0.00,"",0.00,155.00,198.00,120.00,1.00,864.00,4,0.00,0.00,43.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N87319","6145",13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,13851,1385103,33851,"OKC","Oklahoma City, OK","OK","40","Oklahoma",73,"1247","1247",0.00,0.00,0.00,0,"1200-1259",56.00,"1343","1528",4.00,"1513","1532",19.00,19.00,1.00,1,"1500-1559",0.00,"",0.00,146.00,165.00,105.00,1.00,693.00,3,0.00,0.00,19.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,8,1,2021-11-08,"YV",20378,"YV","N85376","6035",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,10994,1099402,30994,"CHS","Charleston, SC","SC","45","South Carolina",37,"1245","1241",-4.00,0.00,0.00,-1,"1200-1259",14.00,"1255","1558",34.00,"1616","1632",16.00,16.00,1.00,1,"1600-1659",0.00,"",0.00,151.00,171.00,123.00,1.00,925.00,4,0.00,0.00,16.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N85377","6160",15376,1537604,30436,"TUS","Tucson, AZ","AZ","04","Arizona",81,13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,"1215","1210",-5.00,0.00,0.00,-1,"1200-1259",15.00,"1225","1643",28.00,"1652","1711",19.00,19.00,1.00,1,"1600-1659",0.00,"",0.00,217.00,241.00,198.00,1.00,1437.00,6,0.00,0.00,19.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,4,4,2021-11-04,"YV",20378,"YV","N89313","6222",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,11624,1162403,31624,"EYW","Key West, FL","FL","12","Florida",33,"1230","1224",-6.00,0.00,0.00,-1,"1200-1259",56.00,"1320","1635",6.00,"1609","1641",32.00,32.00,1.00,2,"1600-1659",0.00,"",0.00,159.00,197.00,135.00,1.00,915.00,4,0.00,0.00,32.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,13,6,2021-11-13,"YV",20378,"YV","N89321","6153",12264,1226402,30852,"IAD","Washington, DC","VA","51","Virginia",38,12953,1295304,31703,"LGA","New York, NY","NY","36","New York",22,"1235","1233",-2.00,0.00,0.00,-1,"1200-1259",14.00,"1247","1426",26.00,"1358","1452",54.00,54.00,1.00,3,"1300-1359",0.00,"",0.00,83.00,139.00,99.00,1.00,229.00,1,0.00,0.00,54.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,4,4,2021-11-04,"YV",20378,"YV","N85373","6251",12266,1226603,31453,"IAH","Houston, TX","TX","48","Texas",74,14986,1498603,34986,"SRQ","Sarasota/Bradenton, FL","FL","12","Florida",33,"0955","0952",-3.00,0.00,0.00,-1,"0900-0959",65.00,"1057","1345",3.00,"1306","1348",42.00,42.00,1.00,2,"1300-1359",0.00,"",0.00,131.00,176.00,108.00,1.00,796.00,4,0.00,0.00,42.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
2021,4,11,12,5,2021-11-12,"YV",20378,"YV","N82333","6192",13930,1393007,30977,"ORD","Chicago, IL","IL","17","Illinois",41,14685,1468502,34685,"SAV","Savannah, GA","GA","13","Georgia",34,"1430","1430",0.00,0.00,0.00,0,"1400-1459",80.00,"1550","1840",4.00,"1753","1844",51.00,51.00,1.00,3,"1700-1759",0.00,"",0.00,143.00,194.00,110.00,1.00,773.00,4,0.00,0.00,51.00,0.00,0.00,"",,,0,,,,,"",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","","",,,"",,,"","",
