Code,Description
"10060","Distin Lake, AK: Distin Lake Airport"
"10061","Port Hobron, AK: Port Hobron Airport"
"10062","Mooseville Airstrip, AK: Mooseville Airstrip Airport"
"10063","Big Bay, AK: Big Bay Airport"
"10064","Wien Lake, AK: Wien Lake Airport"
"10065","Silver Salmon Creek, AK: Silver Salmon Creek Airport"
"10066","Blear Lake, AK: Blear Lake Airport"
"10067","Cannery Bay, AK: Cannery Bay Airport"
"10069","Bear Lake, AK: Johnsons Landing"
"10070","International Seafoods, AK: International Seafoods Airport"
"10071","Cosna River, AK: Cosna River Airport"
"10072","Ivatuk, AK: Ivatuk Airport"
"10074","Cape Sarichef, AK: Cape Sarichef Airport"
"10075","Taylor Mountain Mine, AK: Taylor Mountain"
"10076","Yukon Charley Rivvers, AK: Coal Creek"
"10078","Karluk Portage, AK: Karluk Portage Airport"
"10079","Hope, AK: Hope Airport"
"10080","Viekoda Bay, AK: Viekoda Bay Airport"
"10082","Cold Bay, AK: Cathedral Strip"
"10083","Village Islands, AK: Village Islands Airport"
"10084","Homer, AK: Bear Cove Farm"
"10085","Chinitna Bay, AK: Chinitna Bay Airport"
"10086","McKinley Park, AK: McKinley National Park"
"10087","Nanwalek, AK: Dog Fish Bay"
"10088","Malina Bay, AK: Malina Bay Airport"
"10089","Red Fox Bay, AK: Red Fox Bay Airport"
"10090","Shearwater, AK: Shearwater Airport"
"10091","Cape Simpson, AK: Lake"
"10092","Cape Simpson, AK: Cape Simpson No. 1"
"10093","Cape Simpson, AK: Cape Simpson No. 7"
"10094","Aglaq, AK: Cape Simpson #1"
"10095","Nikiski, AK: Nikiski Private Airstrip"
"10096","Petrof Point, AK: Petrof Point Airport"
"10097","Denali, AK: Denali West Lodge Private"
"10098","Big River, AK: Big River Airport"
"10100","Carry Inlet, AK: Carry Inlet Airport"
"10102","Montague Island, AK: Montague Island Airport"
"10103","Shannon Pond, AK: Shannon Pond Airport"
"10104","Omalik Lagoon, AK: Omalik Lagoon Airport"
"10105","Omolik Lagoon, AK: Omolik Lagoon Airport"
"10106","Bradley Lake Project, AK: Bradley Lake Project Airport"
"10107","Barrow, AK: Ice Strip"
"10108","Barrow, AK: Ice Strip"
"10109","Barrow, AK: Ice Strip"
"10110","Akulik, AK: Akulik Air Strip"
"10111","Deadfall, AK: Deadfall Air Strip"
"10112","Eagle Creek, AK: Eagle Creek Airport"
"10113","Bethel, AK: Ice Kong"
"10116","Kachemak Bay, AK: Glacier Split"
"10117","Selby Lake, AK: Selby Lake Airport"
"10118","Anaa, French Polynesia: Anaa Airport"
"10119","Arrabury, Australia: Arrabury Station"
"10120","El Arish, Egypt: El Arish International"
"10121","Annaba, Algeria: Rabah Bitat"
"10122","Apalachicola, FL: Apalachicola Regional Cleve Randolph Field"
"10123","Aachen, Germany: Aachen Merzbrueck"
"10124","Arraias, Brazil: Arraias Airport"
"10125","Aalborg, Denmark: Aalborg Airport"
"10126","Mala Mala, South Africa: Malamala"
"10127","Al Ain, United Arab Emirates: Al Ain International"
"10128","Anaco, Venezuela: Anaco Airport"
"10129","Anapa, Russia: Vityazevo"
"10130","Aarhus, Denmark: Aarhus Airport"
"10131","Asau, Samoa: Asau W Sam"
"10132","Araxa, Brazil: Romeu Zema"
"10134","Abadan, Iran: Abadan Airport"
"10135","Allentown/Bethlehem/Easton, PA: Lehigh Valley International"
"10136","Abilene, TX: Abilene Regional"
"10137","Abidjan, Cote d'Ivoire: Felix Houphouet Boigny Abidjan International"
"10138","Kabri Dar, Ethiopia: Kebri Dahar"
"10139","Ambler, AK: Ambler River"
"10140","Albuquerque, NM: Albuquerque International Sunport"
"10141","Aberdeen, SD: Aberdeen Regional"
"10142","Abu Simbel, Egypt: Abu Simbel Airport"
"10143","Al-Baha, Saudi Arabia: King Saud Bin Abdulaziz"
"10144","Abuja, Nigeria: Nnamdi Azikiwe International"
"10145","Albury, Australia: Albury Airport"
"10146","Albany, GA: Southwest Georgia Regional"
"10147","Aberdeen, United Kingdom: Aberdeen Dyce"
"10148","Acapulco, Mexico: General Juan N Alvarez International"
"10149","Bellaire, MI: Antrim County"
"10150","Accra, Ghana: Accra Kotoka International"
"10151","Arrecife, Spain: Lanzarote"
"10152","Altenrhein, Switzerland: St Gallen Altenrhein"
"10153","Alderney, United Kingdom: Alderney Airport"
"10154","Nantucket, MA: Nantucket Memorial"
"10155","Waco, TX: Waco Regional"
"10156","Achutupo, Panama: Achutupo Airport"
"10157","Arcata/Eureka, CA: California Redwood Coast Humboldt County"
"10158","Atlantic City, NJ: Atlantic City International"
"10159","Adana, Turkey: Adana International"
"10160","Izmir, Turkey: Adnan Menderes"
"10161","Andakombe, Papua New Guinea: Andakombe Airport"
"10162","Addis Ababa, Ethiopia: Bole International"
"10163","Aden, Yemen: Aden International"
"10164","Amman, Jordan: Marka International"
"10165","Adak Island, AK: Adak"
"10166","Adelaide, Australia: Adelaide International"
"10167","Ardmore, OK: Ardmore Municipal"
"10168","Andes, Colombia: Andes Airport"
"10169","Andamooka, Australia: Andamooka Airport"
"10170","Kodiak, AK: Kodiak Airport"
"10171","Dallas, TX: Addison"
"10172","Camp Springs, MD: Joint Base Andrews"
"10173","St Andrews, United Kingdom: RAF Leuchars"
"10174","San Andres Island, Colombia: Gustavo Rojas Pinilla"
"10175","Al Dhafra, United Arab Emirates: Al Dhafra Air Base"
"10176","Aleneva, AK: Aleneva Airport"
"10177","Padang Sidempuan, Indonesia: Aek Godang"
"10178","Abeche, Chad: Abeche Airport"
"10180","Aioun El Atrouss, Mauritania: Aioun El Atrouss Airport"
"10181","Buenos Aires, Argentina: Aeroparque Jorge Newbery"
"10182","Adler/Sochi, Russia: Adler/Sochi Airport"
"10183","Aalesund, Norway: Vigra"
"10184","Allakaket, AK: Allakaket Airport"
"10185","Alexandria, LA: Alexandria International"
"10186","Akureyri, Iceland: Akureyri Airport"
"10188","San Rafael, Argentina: San Rafael Airport"
"10189","Colorado Springs, CO: USAF Academy Airfield"
"10190","Nebraska, NE: Nebraska City Municipal"
"10191","Afton, WY: Afton Municipal"
"10192","Wadesboro, NC: Anson County Jeff Cloud Field"
"10194","Dallas/Fort Worth, TX: Fort Worth Alliance"
"10195","Afyon, Turkey: Afyon Airport"
"10196","Agadir, Morocco: Inezgane"
"10197","Augsburg, Germany: Augsburg Airport"
"10198","Pittsburgh, PA: Allegheny County"
"10199","Agen, France: Agen La Garenne"
"10200","Angoram, Papua New Guinea: Angoram Airport"
"10201","Angelholm/Helsingborg, Sweden: Angelholm"
"10202","Kagua, Papua New Guinea: Kagua Airport"
"10203","Wanigela, Papua New Guinea: Wanigela Airport"
"10204","Angoon, AK: Angoon Seaplane Base"
"10205","Malaga, Spain: Malaga Airport"
"10206","Agrinion, Greece: Agrinion Airport"
"10207","Agra, India: Agra Airport"
"10208","Augusta, GA: Augusta Regional at Bush Field"
"10209","Ciudad del Este, Paraguay: Guarani International"
"10210","Aguascalientes, Mexico: Jesus Teran International"
"10211","Acarigua, Venezuela: Oswaldo Guevara Mujica"
"10212","Agatti Island, India: Agatti Island Airport"
"10213","Okinawa, Japan: Naha AB"
"10214","Abha, Saudi Arabia: Abha Airport"
"10215","Ardmore, OK: Ardmore Downtown Executive"
"10216","Athens, GA: Athens/Ben Epps"
"10217","Alghero/Sassari, Italy: Alghero"
"10218","Ahuas, Honduras: Auas"
"10219","Amchitka Island, AK: Amchitka"
"10220","Al Hoceima, Morocco: Cherif El Idrissi International"
"10221","Alliance, NE: Alliance Municipal"
"10222","Anita Bay, AK: Anita Bay Airport"
"10223","Anderson, IN: Anderson Municipal-Darlington Field"
"10224","Aiken, SC: Aiken Regional"
"10225","Wainwright, AK: Wainwright Airport"
"10226","Aitutaki, Cook Islands: Aitutaki Airport"
"10227","Atlantic City, NJ: Bader Field"
"10228","Lake of the Ozarks, MO: Lee C Fine Memorial"
"10229","Ajaccio, France: Ajaccio Napoleon Bonaparte"
"10230","Jouf, Saudi Arabia: Al Jouf"
"10231","Akjoujt, Mauritania: Akjoujt Airport"
"10232","Aizwal, India: Lengpui"
"10233","Anjouan, Comoros: Ouani"
"10234","Arvidsjaur, Sweden: Arvidsjaur Airport"
"10235","Aracaju, Brazil: Santa Maria International"
"10236","Agades, Niger: Mano Dayak"
"10237","Atka, AK: Atka Airport"
"10238","Akron, OH: Akron Fulton International"
"10239","Kufrah, Libya: Kufra"
"10241","Akiak, AK: Akiak Airport"
"10242","Asahikawa, Japan: Asahikawa Airport"
"10243","Akhiok, AK: Akhiok Airport"
"10244","Auckland, New Zealand: Auckland International"
"10245","King Salmon, AK: King Salmon Airport"
"10246","Akron, CO: Colorado Plains Regional"
"10247","Anaktuvuk Pass, AK: Anaktuvuk Pass Airport"
"10248","Akure, Nigeria: Akure Airport"
"10249","Auki, Solomon Islands: Auki Airport"
"10250","Akrotiri, Cyprus: Akrotiri Airport"
"10251","Aktyubinsk, Kazakhstan: Aktyubinsk Airport"
"10252","Sittwe, Burma: Sittwe Airport"
"10253","Albertville, AL: Albertville Regional-Thomas J Brumlik Field"
"10254","Alabaster, AL: Shelby County"
"10255","Huntsville, AL: Huntsville Executive Tom Sharp Jr"
"10256","Almaty, Kazakhstan: Almaty Airport"
"10257","Albany, NY: Albany International"
"10258","Alicante, Spain: Alicante Elche"
"10259","Alpine, TX: Alpine Casparis Municipal"
"10260","Alta, Norway: Alta Airport"
"10261","Algiers, Algeria: Houari Boumediene"
"10262","Albany, Australia: Albany Airport"
"10263","Alice, TX: Alice International"
"10264","Alexander Bay, South Africa: Alexander Bay Airport"
"10265","Asela, Ethiopia: Asela Airport"
"10266","Alamogordo, NM: Alamogordo White Sands Regional"
"10267","Alton, IL: St. Louis Regional"
"10268","Waterloo, IA: Waterloo Regional"
"10269","Aleppo, Syria: Aleppo International"
"10270","Alegrete, Brazil: Alegrete Airport"
"10271","Alexandra, New Zealand: Alexandra Airport"
"10272","Alamosa, CO: San Luis Valley Regional/Bergman Field"
"10273","Alenquer, Brazil: Alenquer Airport"
"10274","Alula, Somalia: Alula Airport"
"10275","Walla Walla, WA: Walla Walla Regional"
"10276","Alexander City, AL: Thomas C. Russell Field"
"10277","Alexandria, Egypt: Alexandria International"
"10278","Lazy Bay, AK: Alitak Seaplane Base"
"10279","Amarillo, TX: Rick Husband Amarillo International"
"10280","Ahmedabad, India: Ahmedabad International"
"10281","Ama, Papua New Guinea: Ama Airport"
"10282","Amboin, Papua New Guinea: Amboin Airport"
"10283","Arba Minch, Ethiopia: Arba Minch Airport"
"10284","Mataram, Indonesia: Selaparang"
"10285","Durango, CO: Animas Air Park"
"10286","Puerto Armuelles, Panama: Puerto Armuelles Airport"
"10287","Amman, Jordan: Queen Alia International"
"10288","Alma, MI: Gratiot Community"
"10289","Mao, Chad: Mao Airport"
"10290","Ampanihy, Madagascar: Ampanihy Airport"
"10291","Ambon, Indonesia: Pattimura"
"10292","Amsterdam, Netherlands: Schiphol"
"10294","Ames, IA: Ames Municipal"
"10295","Ammaroo, Australia: Ammaroo Station"
"10296","Ambatomainty, Madagascar: Ambatomainty Airport"
"10297","Anaheim, CA: Anaheim-Disneyland HP"
"10298","Anniston, AL: Anniston Regional"
"10299","Anchorage, AK: Ted Stevens Anchorage International"
"10300","Anderson, SC: Anderson Regional"
"10301","Angers, France: Angers Marce"
"10302","Antofagasta, Chile: Andres Sabella International"
"10303","Angouleme, France: Angouleme Brie Champniers"
"10304","Aniak, AK: Aniak Airport"
"10305","Ankara, Turkey: Etimesgut"
"10306","Antalaha, Madagascar: Antsirabato"
"10307","Annette, AK: Annette Island"
"10308","Angoche, Mozambique: Angoche Airport"
"10309","Annapolis, MD: Lee"
"10310","Antwerp, Belgium: Deurne"
"10311","Andahuaylas, Peru: Andahuaylas Airport"
"10312","St. Johns, Antigua and Barbuda: V C Bird International"
"10313","Anvik, AK: Anvik Airport"
"10314","Andeness, Norway: Andoya"
"10317","Lima, OH: Lima Allen County"
"10318","Ancona, Italy: Ancona Falconara"
"10319","Aomori, Japan: Aomori Airport"
"10320","Karpathos, Greece: Karpathos Airport"
"10321","Paso de Los Libres, Argentina: Paso de Los Libres Airport"
"10322","Altoona, PA: Altoona-Blair County"
"10323","Alor Setar, Malaysia: Sultan Abdul Halim"
"10324","Amook Bay, AK: Amook Bay Airport"
"10325","Denver, CO: Centennial"
"10326","Apolo, Bolivia: Apolo Airport"
"10327","Napa, CA: Napa County"
"10328","San Juan Aposento, Peru: San Juan Aposento Airport"
"10329","Naples, FL: Naples Municipal"
"10330","Aberdeen, MD: Phillips AAF"
"10331","Apataki, French Polynesia: Apataki Airport"
"10332","Nampula, Mozambique: Nampula Airport"
"10333","Alpena, MI: Alpena County Regional"
"10334","Apartado, Colombia: Apartado Airport"
"10335","April River, Papua New Guinea: April River Airport"
"10336","Jasper, TN: Marion County Brown Field"
"10337","Apple Valley, CA: Apple Valley Airport"
"10338","Apia, Samoa: Faleolo International"
"10339","Qaisumah, Saudi Arabia: Hafr Al Batin"
"10340","Aqaba, Jordan: King Hussein International"
"10342","Arequipa, Peru: Rodriguez Ballon International"
"10343","Saqani, Fiji: Saqani Airport"
"10344","Girdwood, AK: Girdwood Airport"
"10345","Russellville, AR: Russellville Regional"
"10346","Conway, AR: Dennis F Cantrell Field"
"10347","New Iberia, LA: Acadiana Regional"
"10348","Ann Arbor, MI: Ann Arbor Municipal"
"10349","Arctic Village, AK: Arctic Village Airport"
"10350","Alor, Indonesia: Arcadia Municipal"
"10351","Arecibo, PR: Antonio/Nery/Juarbe Pol"
"10352","Walnut Ridge, AR: Walnut Ridge Regional"
"10353","Arkhangelsk, Russia: Talagi"
"10354","Arica, Chile: Chacalluta"
"10355","Arusha, Tanzania: Arusha Airport"
"10356","Armidale, Australia: Armidale Airport"
"10357","Stockholm, Sweden: Arlanda"
"10358","Aragip, Papua New Guinea: Aragip Airport"
"10359","Arauquita, Colombia: Arauquita Airport"
"10360","Aragarcas, Brazil: Aragarcas Airport"
"10361","Watertown, NY: Watertown International"
"10362","Aracatuba, Brazil: Aracatuba Airport"
"10363","Minocqua/Woodruff, WI: Lakeland/Noble F. Lee Memorial Field"
"10364","Arad, Romania: Arad International"
"10365","Asbury Park, NJ: Asbury Park/Monmouth County"
"10366","Ararat, Australia: Ararat Airport"
"10367","N'zeto, Angola: N'zeto Airport"
"10368","Assab, Eritrea: Assab International"
"10369","Ashgabat, Turkmenistan: Ashgabat Airport"
"10370","Ascension, Bolivia: Ascension Airport"
"10371","Andros Town, The Bahamas: Fresh Creek"
"10372","Aspen, CO: Aspen Pitkin County Sardy Field"
"10373","Ashburton, New Zealand: Ashburton Airport"
"10374","Nashua, NH: Boire Field"
"10375","Ascension Island, Saint Helena, Ascension, and Tristan da Cunha: Ascension Aux Af"
"10376","Amami O Shima, Japan: Amami"
"10377","Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport"
"10378","Marshall, TX: Harrison County"
"10379","Asmara, Eritrea: Asmara International"
"10380","Talladega, AL: Talladega Municipal"
"10381","Asosa, Ethiopia: Asosa Hidase"
"10382","Alice Springs, Australia: Alice Springs Airport"
"10383","Austin, NV: Austin Airport"
"10384","Kayseri, Turkey: Kayseri Airport"
"10385","Astoria/Seaside, OR: Astoria Regional"
"10386","Asuncion, Paraguay: Silvio Pettirossi International"
"10387","Aswan, Egypt: Aswan International"
"10388","Ashland, WI: John F Kennedy Memorial"
"10389","Ashley, ND: Ashley Municipal"
"10390","Anta, Peru: Anta Huaraz"
"10391","Atbara, Sudan: Atbara Airport"
"10392","Arthur's Town, The Bahamas: Arthur's Town Airport"
"10393","Antlers, OK: Antlers Municipal"
"10394","Athens, Greece: Eleftherios Venizelos International"
"10395","Artigas, Uruguay: Artigas International"
"10396","Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial"
"10397","Atlanta, GA: Hartsfield-Jackson Atlanta International"
"10398","Altamira, Brazil: Altamira Airport"
"10399","Namatanai, Papua New Guinea: Namatanai Airport"
"10400","Athens, OH: Ohio University"
"10401","Aitape, Papua New Guinea: Aitape Airport"
"10402","Amritsar, India: Amritsar International"
"10403","Atar, Mauritania: Atar Airport"
"10404","Artesia, NM: Artesia Municipal"
"10405","Atmautluak, AK: Atmautluak Airport"
"10406","Attu, AK: Casco Cove CGS"
"10407","Ati, Chad: Ati Airport"
"10408","Appleton, WI: Appleton International"
"10409","Watertown, SD: Watertown Regional"
"10410","Assiut, Egypt: Assiut Airport"
"10411","Aruba, Aruba: Reina Beatrix International"
"10412","Arauca, Colombia: Santiago Perez"
"10413","Augustus Downs, Australia: Augustus Downs Airport"
"10414","Augusta/Waterville, ME: Augusta State"
"10415","Abu Dhabi, United Arab Emirates: Abu Dhabi International"
"10416","Alakanuk, AK: Alakanuk Airport"
"10417","Austin/Albert Lea, MN: Austin Municipal"
"10418","Auburn, CA: Auburn Municipal"
"10419","Auburn, AL: Auburn University Regional"
"10420","Aguan, Papua New Guinea: Aguan Papua N.G."
"10421","Atuona, French Polynesia: Hiva Oa/Atuona"
"10422","Aurillac, France: Aurillac Airport"
"10423","Austin, TX: Austin - Bergstrom International"
"10424","Wausau, WI: Wausau Downtown"
"10425","Araguaina, Brazil: Araguaina Airport"
"10426","Aneityum, Vanuatu: Aneityum Airport"
"10427","Aurora, IL: Aurora Municipal"
"10428","Aviano, Italy: Aviano AB"
"10430","Ciego de Avila, Cuba: Maximo Gomez"
"10431","Asheville, NC: Asheville Regional"
"10432","Avignon, France: Avignon Caumont"
"10433","Avon Park, FL: Avon Park Executive"
"10434","Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International"
"10435","Avalon, Australia: Avalon Airport"
"10436","Tucson, AZ: Marana Regional"
"10437","Avalon, CA: Catalina"
"10438","Awasa, Ethiopia: Lake Awasa"
"10439","Wake Island, TT: Wake Island Airfield"
"10440","West Memphis, AR: West Memphis Municipal"
"10441","Awar, Papua New Guinea: Awar Airport"
"10442","Andrews, TX: Andrews County"
"10443","Ahwaz, Iran: Ahwaz Airport"
"10444","The Valley, Anguilla: Clayton J Lloyd"
"10445","Alexandria Bay, NY: Maxson Airfield"
"10446","Aramac, Australia: Aramac Airport"
"10447","Alexandroupolis, Greece: Dimokritos"
"10448","Armenia, Colombia: El Eden"
"10449","Alexandria, MN: Chandler Field"
"10450","Spring Point, The Bahamas: Spring Point Airport"
"10451","Altus, OK: Altus/Quartz Mountain Regional"
"10452","Akita, Japan: Akita Airport"
"10453","Axum, Ethiopia: Axum Atse Yohannes IV"
"10454","Wapakoneta, OH: Neil Armstrong"
"10455","Eagle Nest, NM: Angel Fire"
"10456","Anthony Lagoon, Australia: Anthony Lagoon Airport"
"10457","Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte"
"10458","Ayers Rock, Australia: Ayers Rock Connellan"
"10459","Ayr, Australia: Ayr Airport"
"10460","Waycross, GA: Waycross-Ware County"
"10461","Antalya, Turkey: Antalya Airport"
"10462","Ayawasi, Indonesia: Ayawasi Airport"
"10463","Grand Canyon, AZ: Valle"
"10464","Williams, AZ: H. A. Clark Memorial Field"
"10465","Glendale, AZ: Glendale Municipal"
"10466","Phoenix, AZ: Phoenix - Mesa Gateway"
"10467","Yazd, Iran: Shahid Sadooghi"
"10468","Apatzingan, Mexico: Pablo L. Sidar"
"10469","Kalamazoo, MI: Kalamazoo/Battle Creek International"
"10470","Samana, Dominican Republic: El Catey International"
"10471","Biddeford, ME: Biddeford Municipal"
"10472","Carrabassett, ME: Sugarloaf Regional"
"10473","Bialla, Papua New Guinea: Bialla Airport"
"10474","Marysville, CA: Beale AFB"
"10475","Barranca de Upia, Colombia: Barranca de Upia Airport"
"10476","Shreveport, LA: Barksdale AFB"
"10477","Barcelonnette, France: Barcelonnette Airport"
"10478","Westfield, MA: Westfield Barnes Regional"
"10479","Baguio, Philippines: Baguio Airport"
"10480","Manama, Bahrain: Bahrain International"
"10481","Buenos Aires, Costa Rica: Buenos Aires Airport"
"10482","Baku, Azerbaijan: Heydar Aliyev International"
"10483","Batman, Turkey: Batman Airport"
"10484","Battle Mountain, NV: Battle Mountain Airport"
"10485","Ban Mak Khaeng, Thailand: Udorn AB"
"10486","Barranquilla, Colombia: Ernesto Cortissoz"
"10487","Baker Island, AK: Baker AAF"
"10488","Barth, East Germany: Barth Airport"
"10489","Bauru, Brazil: Bauru-Arealva"
"10490","Baotou, China: Baotou Airport"
"10491","Barnaul, Russia: Mikhaylovka"
"10492","Baia Mare, Romania: Maramures"
"10493","Balmaceda, Chile: Balmaceda Airport"
"10494","Bay City, TX: Bay City Regional"
"10495","Burlington, MA: N Eng Heliport"
"10497","Bhubaneswar, India: Bhubaneswar Airport"
"10498","Berbera, Somalia: Berbera International"
"10499","Barbuda, Antigua and Barbuda: Cocoa Point"
"10500","Basse Terre, Guadeloupe: Baillif"
"10501","Blackbushe, United Kingdom: Blackbushe Airport"
"10502","Berberati, Central African Republic: Berberati Airport"
"10503","Bucharest, Romania: Baneasa Aurel Vlaicu"
"10504","Blue Bell, PA: Wings Field"
"10505","Bambari, Central African Republic: Bambari Airport"
"10506","Zambezi, Zambia: Zambezi Airport"
"10507","Baracoa, Cuba: Gustavo Rizo"
"10508","Blacksburg, VA: Virginia Tech/Montgomery Executive"
"10509","Bear Creek, AK: Bear Creek Airport"
"10510","Bacolod, Philippines: Bacolod Airport"
"10511","Bryce Canyon, UT: Bryce Canyon Airport"
"10512","Baucau, Timor-Leste: Cakung"
"10513","Barcaldine, Australia: Barcaldine Airport"
"10514","Crestone, CO: Baca Grande"
"10515","Barra del Colorado, Costa Rica: Barra del Colorado Airport"
"10516","Bacau, Romania: George Enescu Bacau International"
"10517","Barcelona, Spain: Barcelona Airport"
"10518","Belle Chasse, LA: Southern Seaplane"
"10519","Boca Raton, FL: Boca Raton Public"
"10520","Bulchi, Ethiopia: Bulchi Airport"
"10521","Hamilton, Bermuda: L. F. Wade International"
"10522","Bundaberg, Australia: Bundaberg Airport"
"10523","Baudette, MN: Baudette International"
"10524","Blanding, UT: Blanding Municipal"
"10525","Bandar Lengeh, Iran: Bandar Lengeh Airport"
"10526","Bird Island, Seychelles: Bird Island Airport"
"10527","Bandjarmasin, Indonesia: Syamsudin Noor"
"10528","Bondoukou, Cote d'Ivoire: Bondoukou/Soko"
"10529","Hartford, CT: Bradley International"
"10530","Bandirma, Turkey: Bandirma Airport"
"10531","Badin, Pakistan: Talhar"
"10532","Bandung, Indonesia: Husein Sastranegara"
"10533","Bhadrapur/Chandragadhi, Nepal: Chandragadhi"
"10534","Vadodara, India: Vadodara Airport"
"10535","Bridgeport, CT: Igor I Sikorsky Memorial"
"10536","Brindisi, Italy: Brindisi Airport"
"10537","Bardufoss, Norway: Bardufoss Airport"
"10538","Bandon, OR: Bandon State"
"10539","Benbecula, United Kingdom: Benbecula Airport"
"10540","Bedford, MA: Laurence G Hanscom Field"
"10541","Bluefields, Nicaragua: Bluefields Airport"
"10542","Belgrade, Serbia: Beograd"
"10543","Benton Harbor/St. Joseph, MI: Southwest Michigan Regional"
"10544","Beica, Ethiopia: Beica Airport"
"10545","Belem, Brazil: Val de Cans International"
"10547","Benghazi, Libya: Benina International"
"10548","Newcastle, Australia: Lake Macquarie"
"10549","Berlin, Germany: Berlin Metropolitan Area"
"10550","Brest, France: Brest Bretagne"
"10551","Bethel, AK: Bethel Airport"
"10552","Bedourie, Australia: Bedourie North"
"10553","Beersheba, Israel: Teyman"
"10554","Beira, Mozambique: Beira Airport"
"10555","Beirut, Lebanon: Rafic Hariri International"
"10556","Blue Fox Bay, AK: Blue Fox Bay Airport"
"10557","Bradford, PA: Bradford Regional"
"10558","Scottsbluff, NE: Western Neb. Regional/William B. Heilig Field"
"10559","Seattle, WA: Boeing Field/King County International"
"10560","Aurora, CO: Buckley AFB"
"10561","Bakersfield, CA: Meadows Field"
"10562","Mobile, AL: Mobile Downtown"
"10563","Bloemfontein, South Africa: Bram Fischer International"
"10564","Buffalo Range, Zimbabwe: Buffalo Range Airport"
"10565","Beaver Falls, PA: Beaver County"
"10566","Bahia de Pinas, Panama: Bahia de Pinas Airport"
"10567","Bedford, IN: Virgil I Grissom Municipal"
"10568","Belfast, United Kingdom: Belfast Aldergrove"
"10569","Beaufort, SC: Beaufort County"
"10570","Bucaramanga, Colombia: Palonegro"
"10571","Booue, Gabon: Booue Airport"
"10572","Borger, TX: Hutchinson County"
"10573","Bainbridge, GA: Decatur County Industrial Air Park"
"10574","Bangui, Central African Republic: Bangui-M'Poko"
"10575","Barbados/Bridgetown, Barbados: Grantley Adams International"
"10576","Baglung, Nepal: Baglung Airport"
"10577","Binghamton, NY: Greater Binghamton/Edwin A. Link Field"
"10578","Bruggen, Germany: Bruggen Airport"
"10579","Bergen, Norway: Flesland"
"10580","Big Lake, AK: Big Lake Airport"
"10581","Bangor, ME: Bangor International"
"10582","Big Spring, TX: Big Spring McMahon-Wrinkle"
"10583","Bagdad, AZ: Bagdad Airport"
"10584","Bangassou, Central African Republic: Bangassou Airport"
"10585","Baghdad, Iraq: Al Muthana"
